"url","name","image","description"
"https://atom.io","Atom","atom.png","A hackable text editor for the 21st Century"
"https://slack.com","Slack","slack.png","A messaging app for teams"
"https://code.visualstudio.com","Visual Studio Code","vscode.png","Code editing. Redefined"
"https://hiveteams.com","Hive","hive.png","All your actions, messages and files on one page"
"http://avocode.com","Avocode","avocode.png","One workspace open to all designers and developers"
"https://www.mapbox.com","Mapbox","mapbox.png","Design and publish beautiful maps"
"http://nuclide.io","Nuclide","nuclide.png","A unified developer experience for web and mobile development"
"https://kitematic.com","Kitematic","kitematic.png","Run containers through a simple, yet powerful graphical user interface"
"http://www.pixate.com","Pixate","pixate.png","Change the way you design with the most powerful prototyping platform on the planet"
"http://www.wagonhq.com","Wagon","wagon.png","SQL analytis together: Write queries, visualize data, and share charts with your team"
"https://www.particle.io/dev","Particle Dev","particle.png","A professional IDE for Particle"
"http://fireball-x.com/en","Fireball","fireball.png","Game development tools"
"http://popkey.co/send-gifs","PopKey","pop-key.png","The perfect GIF right at your fingertips"
"https://www.jibo.com","JIBO","jibo.png","The world's first social robot"
"http://lab.ionic.io","Ionic Lab","ionic-lab.png","Create, build, test and deploy Ionic apps"
"https://rocket.chat","Rocket.Chat","rocket-chat.png","The ultimate open source web chat platform"
"http://microstockr.com","Microstockr","microstockr.png","Microstock photography made easy"
"https://www.gitbook.com","GitBook","gitbook.png","Editor for a modern publishing toolchain based on Git"
"https://www.nylas.com/n1","Nylas N1","nylas.png","The extensible, open source mail app"
"http://www.gitkraken.com","GitKraken","gitkraken.png","The downright luxurious Git client for Windows, Mac and Linux"
"http://www.airtame.com","AIRTAME","airtame.png","Wireless HDMI streaming"
"https://www.spreaker.com/download","Spreaker Studio","spreaker-studio.png","Create and discover podcasts"
"http://www.kakapo.co/app.html#desktop","Kakapo","kakapo.png","Ambient sound mixer to set a nice mood"
"http://zoommyapp.com","Zoommy","zoommy.png","Helps you find awesome free stock photos for your creative product or inspiration"
"http://www.gitify.io","Gitify","gitify.png","Github notifications on your menu bar"
"http://www.strem.io","Stremio","stremio.png","Organize and instantly watch your favorite videos, movies, TV series and TV channels"
"http://lighttable.com","Light Table","lighttable.png","The next generation code editor"
"https://steelseries.com/engine","SteelSeries Engine 3","steelseries-engine-3.png","A unified platform that supports nearly all your SteelSeries gear. "
"http://www.yhat.com/products/rodeo","Yhat Rodeo","yhat-rodeo.png","An IDE for data science"
"https://wire.com","Wire","wire.png","Modern, private communications"
"http://www.mancy-re.pl","Mancy","mancy.png","NodeJS REPL"
"https://b00st.io","Boost","boost.png","Open-sourced note app for programmers"
"http://caret.io","Caret","caret.png","Markdown editor for Mac / Windows / Linux"
"https://tweetman.kksg.net/en","Tweetman","tweetman.png","Powerful Twitter Client for Desktop"
"http://md-note.com","MdNote","mdnote.png","Markdown notebook"
"https://desktop.wordpress.com","WordPress.com","wordpress.png","A desktop app for Wordpress"
"http://ppoffice.github.io/Hozz","Hozz","hozz.png","A better way to manage your hosts"
"http://www.getgala.me","Gala","gala.png","A new and easier way of searching images"
"http://www.mongotron.io","Mongotron","mongotron.png","Cross platform MongoDB management"
"https://www.wantedly.com/sync","Sync","sync.png","A business chat tool"
"http://abricotine.brrd.fr","Abricotine","abricotine.png","Open-source Markdown editor built for desktop"
"http://discordapp.com","Discord","discord.png","All-in-one voice and text chat for gamers"
"http://add0n.com/turbo-download-manager.html","Turbo Download Manager","tdm.png","An open-source multi-threading download manager"
"https://keeweb.info","KeeWeb","keeweb.png","Free cross-platform password manager compatible with KeePass"
"https://www.getflow.com","Flow","flow.png","Task Management Software That Doesn't Feel Like Work"
"http://gifmaker.io","Gif Maker","gif-maker.png","Animated GIF maker"
"http://madebybright.com","Nimble","nimble.png","A simple Wolfram|Alpha&#174; menubar client for Mac OS X"
"https://rememberapp.co.kr","Remember","remember.png","Business card management"
"https://presets.io","Presets.io","presets.png","Easy preset management for Adobe Lightroom"
"http://argo.js.org","Argo","argo.png","An open source trading platform"
"https://www.getpostman.com/","Postman","postman.png","Build, test and document your APIs"
"http://superpowers-html5.com/","Superpowers","superpowers.png","2D+3D game making for indies. Free and open source, finally"
"http://tagspaces.org/","TagSpaces","tagspaces.png","Your Hackable File Organizer"
"http://pracontrol.pravdomil.cz","PraControl","pracontrol.png","Send awesome gCodes to your machine"
"https://stoplight.io","StopLight","stoplight.png","Mock, document, and test your way to API nirvana"
"https://pablopunk.github.io/chronocube","Chronocube","chronocube.png","Your rubik's cube solves"
"https://netbeast.co","Netbeast","netbeast.png","An Internet of Things javascript development platform that empowers developers to easily create and deploy IoT apps"
"http://www.egret.com/products-wing","Egret Wing","wing.png","Egret Wing"
"https://catlight.io","CatLight","catlight.png","Desktop build status notificatioans"
"https://brave.com/","Brave Software","brave.png","Web browser that automatically blocks ads and trackers"
"http://www.googleplaymusicdesktopplayer.com/","Google Play Music Desktop Player","googleplaymusicdesktopplayer.png","A beautiful cross platform Desktop Player for Google Play Music"
"http://whap.tk","World History AP","whap.png","Help students study for the rigorous AP exam"
"https://github.com/appetizermonster/hain","Hain","hain.png","An 'alt+space' launcher for Windows"
"http://1clipboard.io","1Clipboard","1clipboard.png","A universal clipboard managing app that makes it easy to access your clipboard from anywhere on any device"
"https://jean-emmanuel.github.io/open-stage-control","Open Stage Control","open-stage-control.png","A libre desktop OSC bi-directionnal control surface application"
"https://www.curse.com","Curse","curse.png","Fast and free communication for gamers"
"https://www.makeappicon.com/desktop","MakeAppIcon Desktop","makeappicon.png","Resizer for mobile app icons"
"https://tweakstyle.com","TweakStyle","TweakStyle.png","The next code editor"
"https://webtorrent.io/desktop","WebTorrent Desktop","WebTorrent.png","The streaming torrent client"
"https://www.ecommerce.co.uk/httpschecker","HTTPS Checker","httpschecker.png","The Most Advanced HTTPS Mixed Content Checker Available"
"https://www.mattermost.org/","Mattermost","mattermost.png","Open source, self-hosted Slack-alternative"
"https://bearychat.com","BearyChat","bearychat.png","Focused team communications"
"https://github.com/jfbouzereau/explorer","Explorer","explorer.png","Statistics the easy way"
"https://mockingbot.com","MockingBot","mockingbot.png","The Missing Wireframing Tool For Mobile"
"https://fastlaneapp.co","Fastlane","fastlane.png","Book Uber from your Mac"
"https://datazenit.com","Datazenit","datazenit.png","Modern database administration tool"
"https://crypto.cat","Cryptocat","cryptocat.png","Free secure chat software"
"https://github.com/mozilla/tofino","Tofino","mozilla-tofino.png","An experimental Web Browser from Mozilla"
"https://github.com/HR/Crypter","Crypter","crypter.png","A simple, convenient and secure encryption client"
"https://getdeckhub.com","DeckHub","deckhub.png","A TweetDeck style desktop client for GitHub"
"http://uyu.us","AntSword","antSword.png","A cross platform website management tools"
"https://www.devspectrum.com","Spectrum","spectrum.png","Useful logging for developers"
"https://ghost.org","Ghost","ghost.png","A professional publishing platform"
"http://www.aipo.com/","Aipo","aipocom.png","Communication tool to optimize the connection between people"
